import time: self [us] | cumulative | imported package
import time:      5453 |      94486 |                                     torch.utils.data.datapipes.dataframe
import time:      2803 |       2803 |                                             torch.utils.data._utils.collate
import time:      1471 |       1471 |                                             torch.utils.data._utils.fetch
import time:      1855 |       1855 |                                             torch.utils.data._utils.pin_memory
import time:      1427 |       1427 |                                             torch.utils.data._utils.signal_handling
import time:      3491 |       3491 |                                             torch.utils.data._utils.worker
import time:      2445 |      13491 |                                           torch.utils.data._utils
import time:        80 |      13570 |                                         torch.utils.data._utils.collate
import time:      3127 |      16696 |                                       torch.utils.data.datapipes.iter.callable
import time:      1915 |       1915 |                                         torch.utils.data.sampler
import time:      2074 |       3989 |                                       torch.utils.data.datapipes.iter.combinatorics
import time:      2519 |       2519 |                                       torch.utils.data.datapipes.iter.combining
import time:      1862 |       1862 |                                         torch.utils.data.datapipes.iter.utils
import time:      1888 |       3750 |                                       torch.utils.data.datapipes.iter.filelister
import time:      1684 |       1684 |                                       torch.utils.data.datapipes.iter.fileopener
import time:      2072 |       2072 |                                         torch.utils.data.datapipes.iter.sharding
import time:      2601 |       4673 |                                       torch.utils.data.datapipes.iter.grouping
import time:      2261 |       2261 |                                         torch.utils.data.datapipes.utils.decoder
import time:      2113 |       4373 |                                       torch.utils.data.datapipes.iter.routeddecoder
import time:      2015 |       2015 |                                       torch.utils.data.datapipes.iter.selecting
import time:      2158 |       2158 |                                       torch.utils.data.datapipes.iter.streamreader
import time:      6039 |      47892 |                                     torch.utils.data.datapipes.iter
import time:      3090 |       3090 |                                       torch.utils.data.datapipes.map.callable
import time:      2089 |       2089 |                                       torch.utils.data.datapipes.map.combinatorics
import time:      2579 |       2579 |                                       torch.utils.data.datapipes.map.combining
import time:      2072 |       2072 |                                       torch.utils.data.datapipes.map.grouping
import time:      2246 |       2246 |                                       torch.utils.data.datapipes.map.utils
import time:      2868 |      14942 |                                     torch.utils.data.datapipes.map
import time:      9614 |     166932 |                                   torch.utils.data.datapipes
import time:        65 |     166996 |                                 torch.utils.data.datapipes.iter
import time:        64 |     167059 |                               torch.utils.data.datapipes.iter.sharding
import time:      1788 |       1788 |                               torch.utils.data.graph
import time:      2151 |     170998 |                             torch.utils.data.graph_settings
import time:      3842 |     214651 |                           torch.utils.data.dataloader
import time:      2030 |       2030 |                           torch.utils.data.distributed
import time:      2283 |     218963 |                         torch.utils.data
import time:      1446 |       1446 |                         torch.utils.deterministic
