epoch,eval/knn_probe_top1,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_epoch,fit/inv_step,fit/loss_epoch,fit/loss_step,fit/sigreg_epoch,fit/sigreg_step,hparams/lr_default_0,hparams/lr_linear_probe,lr-AdamW-1,lr-AdamW/pg1,lr-AdamW/pg10,lr-AdamW/pg11,lr-AdamW/pg12,lr-AdamW/pg13,lr-AdamW/pg14,lr-AdamW/pg15,lr-AdamW/pg16,lr-AdamW/pg17,lr-AdamW/pg18,lr-AdamW/pg19,lr-AdamW/pg2,lr-AdamW/pg20,lr-AdamW/pg21,lr-AdamW/pg22,lr-AdamW/pg23,lr-AdamW/pg24,lr-AdamW/pg25,lr-AdamW/pg26,lr-AdamW/pg3,lr-AdamW/pg4,lr-AdamW/pg5,lr-AdamW/pg6,lr-AdamW/pg7,lr-AdamW/pg8,lr-AdamW/pg9,queue/embedding_fill_pct,queue/label_fill_pct,rankme,rankme/condition_number,rankme/entropy,rankme/top_singular_value,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,validate/inv_epoch,validate/inv_step,validate/loss_epoch,validate/loss_step,validate/sigreg_epoch,validate/sigreg_step
,,,0.0758928582072258,,0.9765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,69,,,,0.0,,0.0,,0.0
,,,0.12013889104127884,,0.9166666269302368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,70,,,,0.0,,0.0,,0.0
,,,0.0591517873108387,,0.8046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,71,,,,0.0,,0.0,,0.0
,,,0.0494791679084301,,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,72,,,,0.0,,0.0,,0.0
,,,0.10619143396615982,,0.7804551720619202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,73,,,,0.0,,0.0,,0.0
,,,0.046875,,0.7109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,74,,,,0.0,,0.0,,0.0
,,,0.0407986119389534,,0.65625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,75,,,,0.0,,0.0,,0.0
,,,0.05799592658877373,,0.6061879396438599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,76,,,,0.0,,0.0,,0.0
,,,0.0011160714784637094,,0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,77,,,,0.0,,0.0,,0.0
,,,0.0011160714784637094,,0.4765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,78,,,,0.0,,0.0,,0.0
,,,0.03259966894984245,,0.5110741853713989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,79,,,,0.0,,0.0,,0.0
,,,0.0234375,,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,80,,,,0.0,,0.0,,0.0
,,,0.0377604179084301,,0.4921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,81,,,,0.0,,0.0,,0.0
,,,0.06077485531568527,,0.7835051417350769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,82,,,,0.0,,0.0,,0.0
,,,0.0234375,,0.7890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,83,,,,0.0,,0.0,,0.0
,,,0.0345982126891613,,0.7734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,84,,,,0.0,,0.0,,0.0
,,,0.0758928582072258,,0.8973214626312256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,85,,,,0.0,,0.0,,0.0
,,,0.078125,,0.921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,86,,,,0.0,,0.0,,0.0
,,,0.0691964253783226,,0.890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,87,,,,0.0,,0.0,,0.0
,,,0.1241258829832077,,0.9075369238853455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,88,,,,0.0,,0.0,,0.0
,,,0.0559895820915699,,0.96875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,89,,,,0.0,,0.0,,0.0
,,,0.03125,,0.953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,90,,,,0.0,,0.0,,0.0
,,,0.04330708459019661,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,91,,,,0.0,,0.0,,0.0
0,0.26381558179855347,0.2613457441329956,,0.7199705243110657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.70370483398438,1104634.875,4.880554676055908,330.4367980957031,220,,,0.0,,0.0,,0.0,
0,,,,,,0.5162121653556824,,2.536961317062378,,101.03804016113281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,2.578965187072754,,,,,,,
,,,,,,,,,,,,,,0.03,1.5400153696267311e-06,4.867209069437562e-06,6.489612092583404e-06,6.489612092583404e-06,8.652816123444557e-06,8.652816123444557e-06,1.153708816459277e-05,1.153708816459277e-05,1.5382784219457e-05,1.5382784219457e-05,2.0510378959275952e-05,1.5400153696267311e-06,2.0510378959275952e-05,2.73471719457014e-05,2.73471719457014e-05,3.646289592760174e-05,3.646289592760174e-05,4.861719457013563e-05,4.861719457013563e-05,2.053353826168974e-06,2.053353826168974e-06,2.7378051015586327e-06,2.7378051015586327e-06,3.6504068020781703e-06,3.6504068020781703e-06,4.867209069437562e-06,,,,,,,249,,,,,,,,
1,,,,,,,0.7050648927688599,,1.4194203615188599,,35.71875,1.545691361570789e-06,0.029999999329447746,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,249,,2.35498309135437,,,,,,
,,,,,,,,,,,,,,0.03,1.8238125506569353e-06,5.764148308249072e-06,7.68553107766542e-06,7.68553107766542e-06,1.0247374770220571e-05,1.0247374770220571e-05,1.366316636029414e-05,1.366316636029414e-05,1.8217555147058825e-05,1.8217555147058825e-05,2.429007352941168e-05,1.8238125506569353e-06,2.429007352941168e-05,3.238676470588241e-05,3.238676470588241e-05,4.318235294117638e-05,4.318235294117638e-05,5.757647058823518e-05,5.757647058823518e-05,2.4317500675425796e-06,2.4317500675425796e-06,3.242333423390109e-06,3.242333423390109e-06,4.323111231186803e-06,4.323111231186803e-06,5.764148308249072e-06,,,,,,,299,,,,,,,,
1,,,,,,,0.6950608491897583,,1.2678147554397583,,28.640625,1.8294884966962854e-06,0.029999999329447746,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,299,,2.5173535346984863,,,,,,
